keyword,그룹축,adgroup_name,keyword_id,status,bid,권고,축구분
E편한세상번영로리더스포레,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646626,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상번영로리더스포레,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821357,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상번영로리더스포레분양권,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646627,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상번영로리더스포레분양권,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821358,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상번영로리더스포레시세,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646629,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상번영로리더스포레시세,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821360,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상번영로리더스포레실거래가,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646630,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상번영로리더스포레실거래가,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821361,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상번영로리더스포레입주,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646628,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상번영로리더스포레입주,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821359,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상번영로리더스포레입주일,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646633,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상번영로리더스포레입주일,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821364,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상번영로리더스포레평면도,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646631,PAUSED,80,OFF 권고(전국측),지시서 축
