pid,grp,kind,survivor_proposed,dead_proposed,s_active,s_type,s_stage,s_stage_source,s_units,s_builder,s_pl_kw,s_blog_links,d_active,d_type,d_stage,d_stage_source,d_units,d_builder,d_pl_kw,d_blog_links,succeed_fields,conflicts,already_in_merge_ledger,note
N1,신규이중,merge,사상-중흥s클래스-그랜드-센트럴,사상중흥에스-클래스그랜드센트럴,true,subscription,post_move_in,,952,중흥토건,6,0,true,trade,post_move_in,,952,중흥토건,0,0,complex_units,,false,동일 952·덕포동·중흥토건
N2,신규이중,verify_only,haeundae-mattian-d-edition,해운대-마티안-디-에디션,true,subscription,pre_announcement,,220,한웅건설,16,2,false,subscription,construction,derived_subscription,99,한웅건설,0,0,,units,true,⚠️ 이미 301 원장에 있음 — 병합 아님. 세대수 99↔220 정본 검증만
P1,진행쌍,merge,한화포레나-부산당리,당리2-재개발,true,subscription,construction,derived_subscription,209,한화 건설부문,14,1,true,redevelopment,construction,busan_opendata,543,한화건설,9,1,complex_units,units|builder,false,brand 209=일반분양 추정·zone 543 · builder 표기차(한화)
P2,진행쌍,merge,양정-롯데캐슬-프론티엘,양정3-재개발,true,subscription,construction,derived_subscription,489,롯데건설,11,1,true,redevelopment,construction,busan_opendata,903,롯데건설,11,1,complex_units,units,false,brand 489·zone 903
P3,진행쌍,merge,엄궁역-트라비스-하늘채,엄궁1-재개발,true,subscription,construction,derived_subscription,1670,코오롱글로벌,21,1,true,redevelopment,construction,busan_opendata,1670,코오롱,12,1,,builder,false,brand complex 1670 = zone 1670 · builder 표기차
P4,진행쌍,merge,더샵-리오몬트,엄궁3-재개발,true,subscription,construction,derived_subscription,1305,포스코이앤씨,14,2,true,redevelopment,construction,busan_opendata,1305,포스코이앤씨,12,1,,,false,brand complex 1305 = zone 1305
P5,진행쌍,merge,해링턴-마레,우암1-재개발,true,subscription,construction,derived_subscription,2205,"효성중공업, 진흥기업",21,2,true,redevelopment,construction,busan_opendata,2205,"효성, 진흥 공동사업단",5,68,,builder,false,⚠️ dead 쪽 블로그 링크 68 — 301 필수 · complex 2205 일치
C1a,완료쌍,aggregate,동삼2-재개발,오션라이프에일린의뜰1단지,true,redevelopment,site_planning,,1228,아이에스동서,12,2,true,trade,post_move_in,,498,아이에스동서,6,0,,units,false,1:N is_aggregate 부모-자식 — 병합 금지
C1b,완료쌍,aggregate,동삼2-재개발,오션라이프에일린의뜰2단지,true,redevelopment,site_planning,,1228,아이에스동서,12,2,true,trade,post_move_in,,434,아이에스동서,6,0,,units,false,1:N is_aggregate 부모-자식 — 병합 금지
C2,완료쌍,merge,영도센트럴에일린의뜰,봉래1-재개발,true,trade,post_move_in,,,,0,0,true,redevelopment,site_planning,,1216,아이에스동서,12,2,total_units|complex_units|builder,,false,trade 레코드 필드 NULL → zone 값 승계
C3,완료쌍,merge,초읍-하늘채-포레스원,초읍2-재개발,true,subscription,post_move_in,,756,코오롱글로벌,6,0,true,redevelopment,site_planning,,756,코오롱글로벌,12,0,,,false,brand complex 756 = zone 756
C4,완료쌍,merge,연산더샵,연산2-재개발,true,trade,post_move_in,,,,0,0,true,redevelopment,site_planning,,1071,포스코이앤씨,12,2,total_units|complex_units|builder,,false,zone 원천 조합해산(NW-1 review) · trade 필드 NULL
C5,완료쌍,merge,시청역-해모로-센티아,연산5-재개발,true,subscription,move_in_started,derived_subscription,131,HJ중공업 건설부문,0,1,true,redevelopment,construction,busan_opendata,376,한진중공업 건설부문,9,1,complex_units,units|builder,false,HJ중공업=한진중공업 개명 · brand 131=일반분양 추정
C6,완료쌍,hold,대연-푸르지오-클라센트,대연4-재개발,true,subscription,post_move_in,,592,대우건설,6,0,true,redevelopment,site_planning,,1057,대우건설,12,1,complex_units,units,false,⛔ HOLD — 대연4-재개발 원천 「해제」 · 대연4-재건축(1384·대우)과 귀속 재검
C7,완료쌍,merge,양정-포레힐즈-스위첸,양정2-재개발,true,subscription,post_move_in,,762,케이씨씨건설,6,0,true,redevelopment,site_planning,,1338,KCC건설,12,0,complex_units,units|builder,false,brand 762=일반분양 추정 · builder 표기차(KCC)
C8,완료쌍,hold,주례롯데캐슬골드스마트,부산-주례2-재개발,true,trade,post_move_in,,,,0,0,true,redevelopment,plan_approved,migration:redevelopment_projects,,,12,2,,,false,⛔ HOLD — 주례2 계열 3행(부산-주례2·주례2-2·골드스마트) 귀속 미확정
C9,완료쌍,hold,당리1구역당리푸르지오,당리1-재건축,true,subscription,post_move_in,,25,,0,0,true,redevelopment,union_established,busan_opendata,480,대림산업,12,1,complex_units|builder,units,false,⛔ HOLD — DB 당리1은 재건축 조합설립(진행) — 준공 당리푸르지오와 별개 사업 가능
K1,기지,merge,대연-디아이엘,대연3-재개발,true,subscription,construction,derived_subscription,4488,"롯데건설, HDC현대산업개발",13,2,true,redevelopment,construction,busan_opendata,4488,"롯데건설, 현대산업개발",8,1,,builder,false,complex 4488 일치 · 「3중」 셋째 행 미발견
