old,new,keywords,groups,merged_at,new_eligible,note
엄궁1-재개발,엄궁역-트라비스-하늘채,12,부울경_E_정비사업_1,2026-09-14,Y,
초읍2-재개발,초읍-하늘채-포레스원,12,"C_정비사업,부울경_E_정비사업_1",2026-09-14,Y,
연산2-재개발,연산더샵,12,"C_정비사업,부울경_E_정비사업_1",2026-09-14,Y,
봉래1-재개발,영도센트럴에일린의뜰,12,"C_정비사업,부울경_E_정비사업_1",2026-09-14,Y,
부산-가야-재개발,가야1-재개발,12,"C_정비사업,부울경_E_정비사업_1",2026-09-14,Y,"17:15 relink 백업 존재(12건) — 이미 옮겼으면 0건으로 지나간다"
부산-대연8구역-재개발,대연8-재개발,12,"C_정비사업,부울경_E_정비사업_1",2026-09-14,Y,
엄궁3-재개발,더샵-리오몬트,12,부울경_E_정비사업_1,2026-09-14,Y,
양정2-재개발,양정-포레힐즈-스위첸,12,"C_정비사업,부울경_E_정비사업_1",2026-09-14,Y,
양정3-재개발,양정-롯데캐슬-프론티엘,11,부울경_E_정비사업_1,2026-09-14,Y,
괴정3구역-재건축,괴정3-재건축,10,A_분양,2026-09-09,Y,
초량-호반써밋-센트럴베이,초량3-재개발,10,A_분양,2026-09-09,Y,
당리2-재개발,한화포레나-부산당리,9,부울경_E_정비사업_1,2026-09-14,Y,
연산5-재개발,시청역-해모로-센티아,9,부울경_E_정비사업_1,2026-09-14,Y,
대연3-재개발,대연-디아이엘,8,부울경_E_정비사업_1,2026-09-14,Y,
양산-물금-재건축,양산물금-브라운스톤,5,C_정비사업,2026-08-25,Y,
촉진4구역-재개발,시민공원주변재정비촉진4구역-재개발,5,C_정비사업,2026-09-14,Y,
촉진2-2구역-재개발,시민공원주변재정비촉진2-2구역-재개발,5,C_정비사업,2026-09-14,Y,
우암1-재개발,해링턴-마레,5,C_정비사업,2026-09-14,Y,
오티에르-시티즌파크,시민공원주변재정비촉진2-1구역-재개발,10,A_분양,2026-09-14,Y,17:15 relink 백업 존재 — 이미 옮겼으면 0건으로 지나간다
