키워드 ID,키워드,광고그룹 이름,사유
nkw-a001-01-000008542820971,강서구대방산업개발주식회사,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008542820972,강서구대방산업개발주식회사분양권,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008542820973,강서구대방산업개발주식회사입주,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008542820650,김해시에이치엘디앤아이한라주식회사,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008542820651,김해시에이치엘디앤아이한라주식회사분양권,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008542820652,김해시에이치엘디앤아이한라주식회사입주,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008542821339,남구현대엔지니어링주식회사,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008542821340,남구현대엔지니어링주식회사분양권,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008542821341,남구현대엔지니어링주식회사입주,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008542821336,울주군에이치엘디앤아이한라주식회사,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008542821337,울주군에이치엘디앤아이한라주식회사분양권,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008542821338,울주군에이치엘디앤아이한라주식회사입주,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008542820741,진주시흥한주택종합건설주식회사,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008542820743,진주시흥한주택종합건설주식회사분양권,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008542820745,진주시흥한주택종합건설주식회사입주,부울경_D_입주예정,법인명(8/25 기계 등록 잔재)
nkw-a001-01-000008534454696,경남미분양,카더라,그룹간 중복 — E_대표 생존
nkw-a001-01-000008534454712,경남청약,카더라,그룹간 중복 — E_대표 생존
nkw-a001-01-000008534454677,부산미분양,카더라,그룹간 중복 — E_대표 생존
nkw-a001-01-000008534454656,부산미분양아파트,카더라,그룹간 중복 — E_대표 생존
nkw-a001-01-000008534454730,부산분양,카더라,그룹간 중복 — E_대표 생존
nkw-a001-01-000008534454728,부산아파트분양,카더라,그룹간 중복 — E_대표 생존
nkw-a001-01-000008534454698,부산청약,카더라,그룹간 중복 — E_대표 생존
nkw-a001-01-000008534454687,울산미분양,카더라,그룹간 중복 — E_대표 생존
nkw-a001-01-000008534454670,울산분양,카더라,그룹간 중복 — E_대표 생존
nkw-a001-01-000008534454668,울산아파트분양,카더라,그룹간 중복 — E_대표 생존
nkw-a001-01-000008534454708,울산청약,카더라,그룹간 중복 — E_대표 생존
nkw-a001-01-000008534454701,대연디아이엘,카더라,그룹간 중복 — 상세 착지 그룹 생존
nkw-a001-01-000008534454706,대연푸르지오클라센트,카더라,그룹간 중복 — 상세 착지 그룹 생존
nkw-a001-01-000008534454720,더샵신문그리니티,카더라,그룹간 중복 — 상세 착지 그룹 생존
nkw-a001-01-000008534454710,번영로하늘채라크뷰,카더라,그룹간 중복 — 상세 착지 그룹 생존
nkw-a001-01-000008541751751,울산남구분양,E_대표,그룹간 중복 — A_분양(상세 착지·리드폼·100원) 생존 · 세션 A 권고로 원안 뒤집음
nkw-a001-01-000008541751657,울산분양예정아파트,E_대표,그룹간 중복 — A_분양(상세 착지·리드폼·100원) 생존 · 세션 A 권고로 원안 뒤집음
