keyword,행수,분포,키워드id들
경남미분양,2,E_대표(70/무착지) | 카더라(70/무착지),"nkw-a001-01-000008541751684,nkw-a001-01-000008534454696"
경남청약,2,E_대표(70/무착지) | 카더라(70/무착지),"nkw-a001-01-000008541751680,nkw-a001-01-000008534454712"
대연디아이엘,2,B_입주예정(80/대연-디아이엘) | 카더라(70/무착지),"nkw-a001-01-000008540645685,nkw-a001-01-000008534454701"
대연푸르지오클라센트,2,D_기축(80/대연-푸르지오-클라센트) | 카더라(70/무착지),"nkw-a001-01-000008540644519,nkw-a001-01-000008534454706"
더샵신문그리니티,2,D_기축(80/더샵-신문그리니티) | 카더라(70/무착지),"nkw-a001-01-000008540644863,nkw-a001-01-000008534454720"
번영로하늘채라크뷰,2,B_입주예정(80/번영로-하늘채-라크뷰) | 카더라(70/무착지),"nkw-a001-01-000008540646666,nkw-a001-01-000008534454710"
부산미분양,2,E_대표(70/무착지) | 카더라(70/무착지),"nkw-a001-01-000008541751640,nkw-a001-01-000008534454677"
부산미분양아파트,2,E_대표(70/무착지) | 카더라(70/무착지),"nkw-a001-01-000008541751641,nkw-a001-01-000008534454656"
부산분양,2,E_대표(70/무착지) | 카더라(70/무착지),"nkw-a001-01-000008541751629,nkw-a001-01-000008534454730"
부산아파트분양,2,E_대표(70/무착지) | 카더라(70/무착지),"nkw-a001-01-000008541751631,nkw-a001-01-000008534454728"
부산청약,2,E_대표(70/무착지) | 카더라(70/무착지),"nkw-a001-01-000008541751636,nkw-a001-01-000008534454698"
울산남구분양,2,A_분양(100/그랑라크-에일린의-뜰) | E_대표(70/무착지),"nkw-a001-01-000008569784243,nkw-a001-01-000008541751751"
울산미분양,2,E_대표(70/무착지) | 카더라(70/무착지),"nkw-a001-01-000008541751662,nkw-a001-01-000008534454687"
울산분양,2,E_대표(70/무착지) | 카더라(70/무착지),"nkw-a001-01-000008541751651,nkw-a001-01-000008534454670"
울산분양예정아파트,2,A_분양(100/그랑라크-에일린의-뜰) | E_대표(70/무착지),"nkw-a001-01-000008569784253,nkw-a001-01-000008541751657"
울산아파트분양,2,E_대표(70/무착지) | 카더라(70/무착지),"nkw-a001-01-000008541751653,nkw-a001-01-000008534454668"
울산청약,2,E_대표(70/무착지) | 카더라(70/무착지),"nkw-a001-01-000008541751658,nkw-a001-01-000008534454708"
일광더에스,2,A_분양(500/일광-더에스-동일스위트) | 부울경_B_분양예정(140/무착지),"nkw-a001-01-000008560917260,nkw-a001-01-000008560733652"
