slug,name,cat,region,sigungu,total_units,content_score
거제-옥포-공동주택,거제 옥포 공동주택,B_분양예정,경남,거제시,1963,40
김해-외동-재건축사업,김해 외동 재건축사업,B_분양예정,경남,김해시,1135,45
문현5차-공동주택,문현5차 공동주택,B_분양예정,부산,남구,,40
부산-범천동-주상복합,부산 범천동 주상복합,B_분양예정,부산,부산진구,,40
부산-한양프라자,부산 한양프라자,B_분양예정,부산,,,66
에코델타시티-32bl,에코델타시티 공동주택용지 32BL,B_분양예정,부산,강서구,,40
온천2차-가로주택정비사업,부산 온천2차 가로주택정비사업,B_분양예정,부산,동래구,,40
문수데시앙2단지-공가세대-일반공급,문수데시앙2단지 공가세대 일반공급,B_분양예정,울산,울주군,22,100
문수로-비스타-더파크,문수로 비스타 더파크,B_분양예정,울산,남구,700,53
울산-옥교동-224번지-일원-주거복합-신축공사,울산 옥교동 224번지 일원 주거복합 신축공사,B_분양예정,울산,중구,300,53
울산시-동구-화정동-638-3-주거복합단지-신축공사,울산시 동구 화정동 638-3 주거복합단지 신축공사,B_분양예정,울산,동구,356,40
김해-대청천-에피트,김해 대청천 에피트,D_입주예정,경남,김해시,131,100
e편한세상-금정-메종카운티,e편한세상 금정 메종카운티,D_입주예정,부산,금정구,123,100
구서-다움포레,구서 다움포레,D_입주예정,부산,금정구,68,70
더폴-디오션,더폴 디오션,D_입주예정,부산,해운대구,184,98
시청역-해모로-센티아,시청역 해모로 센티아,D_입주예정,부산,연제구,131,100
신장림-센트럴,ESTIA 신장림 센트럴,D_입주예정,부산,사하구,108,100
한화포레나-부산대연,한화포레나 부산대연,D_입주예정,부산,남구,104,100
남울산-노르웨이숲조합원-취소분,남울산 노르웨이숲(조합원 취소분),D_입주예정,울산,울주군,31,100
문수로-푸르지오-어반피스,문수로 푸르지오 어반피스,D_입주예정,울산,남구,339,76
우정동-한양립스-더-센트럴,우정동 한양립스 더 센트럴,D_입주예정,울산,중구,99,100
울산-우방-아이유쉘-퍼스트,울산KTX 우방 아이유쉘 퍼스트,D_입주예정,울산,울주군,344,77
거제3-재개발,거제3 재개발,E_정비사업,부산,연제구,530,50
광안동-부흥-부광-소규모재건축,광안동 부흥·부광 소규모재건축,E_정비사업,부산,수영구,,46
금보빌라타운-소규모재건축,금보빌라타운 소규모재건축,E_정비사업,부산,,,45
남천-백산-소규모재건축,남천 백산 소규모재건축,E_정비사업,부산,수영구,173,41
대림비치아파트-소규모재건축사업-소규모재건축,대림비치아파트 소규모재건축사업,E_정비사업,부산,해운대구,,45
대성주택-소규모재건축,대성주택 소규모재건축,E_정비사업,부산,,227,40
대연맨션-소규모재건축,대연맨션 소규모재건축,E_정비사업,부산,,160,40
대호세화아파트-소규모재건축,대호세화아파트 소규모재건축,E_정비사업,부산,,101,40
덕천동-347-3번지-일원-가로주택정비,덕천동 347-3번지 일원 가로주택정비,E_정비사업,부산,북구,,45
덕천동-365-26번지-일원-가로주택정비,덕천동 365-26번지 일원 가로주택정비,E_정비사업,부산,북구,121,50
도시아파트-소규모재건축,도시아파트 소규모재건축,E_정비사업,부산,영도구,233,40
동광세화맨션-소규모재건축,동광세화맨션 소규모재건축,E_정비사업,부산,수영구,125,51
동서산장-소규모재건축,동서산장 소규모재건축,E_정비사업,부산,,77,40
동원맨션-소규모재건축,동원맨션 소규모재건축,E_정비사업,부산,,154,40
럭키무지개-가로주택정비,럭키무지개 가로주택정비,E_정비사업,부산,부산진구,694,42
명보아파트-가로주택정비,명보아파트 가로주택정비,E_정비사업,부산,동래구,,55
명장동29-27번지일대-가로주택정비,명장동29-27번지일대 가로주택정비,E_정비사업,부산,동래구,,56
명장삼보맨션-소규모재건축,명장삼보맨션 소규모재건축,E_정비사업,부산,,158,40
문현대성-가로주택정비,문현대성 가로주택정비,E_정비사업,부산,,161,51
문화아파트-소규모재건축,문화아파트 소규모재건축,E_정비사업,부산,부산진구,,55
벧엘아파트-소규모재건축,벧엘아파트 소규모재건축,E_정비사업,부산,,165,40
봉래동1가-111-1번지-일원-가로주택정비,봉래동1가 111-1번지 일원 가로주택정비,E_정비사업,부산,영도구,231,40
봉래동2가-75-1번지-일원-가로주택정비,봉래동2가 75-1번지 일원 가로주택정비,E_정비사업,부산,영도구,308,41
봉래동3가-137번지-일원-가로주택정비,봉래동3가 137번지 일원 가로주택정비,E_정비사업,부산,영도구,280,41
부곡동-812-1번지-일원-소규모재건축,부곡동 812-1번지 일원 소규모재건축,E_정비사업,부산,금정구,179,40
부곡동-841-40-가로주택정비,부곡동 841-40 가로주택정비,E_정비사업,부산,금정구,170,50
부원아파트-소규모재건축,부원아파트 소규모재건축,E_정비사업,부산,부산진구,120,48
분포목련아파트-가로주택정비,분포목련아파트 가로주택정비,E_정비사업,부산,남구,355,41
