단지명,위치,규모,세대수,분양일,입주예정,평당가(천원)
두산위브더제니스 센트럴 양정,부산광역시 부산진구 양정동 399-2,"지하5층 ~ 지상36층, 2개동",총264세대,24.01.26,25.04 예정,20950
"테넌바움 Ⅰ,Ⅱ",부산광역시 수영구 광안해변로 323,"지하6층 ~ 지상39층, 2개동",총294세대,24.02.02,24.03 예정,39860
더샵 금정위버시티,부산광역시 금정구 부곡동 200-1,"지하3층 ~ 지상29층, 9개동",총944세대 中 일반분양 308세대,24.02.29,27.02 예정,20800
냉정역 비스타동원,부산광역시 사상구 주례동 213-22번지,"지하2층 ~ 지상20층, 3개동",총120세대,24.02.29,25.03 예정,19950
E편한세상 금정메종카운티,부산광역시 금정구 남산동 3-1번지,"지하3층 ~ 지상30층, 4개동",총415세대 中 일반분양 123세대,24.04.05,26.06 예정,20700
부산장안지구 디에트르 디오션,부산광역시 기장군 장안읍 좌천리 361-4,"지하2층 ~ 지상25층 ,6개동",총507세대,24.04.05,27.02예정,14960
일광 노르웨이숲 오션포레,부산광역시 기장군 일광읍 이천리 720-2번지,"지하3층 ~ 지상29층, 11개동","총1,294세대",24.04.12,27.03 예정,17153
동래 에코팰리스 아시아드,부산광역시 동래구 온천동 1248-10번지,"지하3층 ~ 지상38층, 1개동",총160세대,24.04.12,27.02 예정,16780
풍경아파트,부산광역시 사상구 사상로 250-10번지,"지하1층 ~ 지상20층, 1개동",총76세대,24.04.12,24.05 예정,13190
지음 시그너스 인 동래,부산광역시 동래구 온천동 1250-16번지,"지하1층  ~ 지상18층, 1개동",총 34세대,24.05.27,24.07 예정,15251
동래사적공원 대광로제비앙,부산광역시 동래구 명륜동 산36번지,"지하4층 ~ 지상28층, 14개동","총1,025세대",24.05.31,29.03 예정,23207
양정 롯데캐슬 프론티엘,부산광역시 부산진구 양정동 64-3번지,"지하3층  ~ 지상28층, 10개동",총903세대 中 일반분양 489세대,24.05.31,27.03 예정,24990
E편한세상 범일 국제금융시티,부산광역시 동구 범일2동 830-90번지,"지하4층 ~ 지상49층, 4개동","총856세대(조합 472세대, 中 일반분양 384세대",24.05.31,28.06 예정,23548
블랑 써밋74,부산광역시 동구 범일동 330-226번지,"지하5층 ~ 지상49~69층, 4개동","APT 998세대, OT 276실",24.06.21,28.11 예정,31000
더샵 리오몬트,부산광역시 사상구 엄궁동 132번지,"지하3층 ~ 지상29층, 11개동","총1,305세대 中 일반분양 866세대",24.06.28,27.06 예정,17603
드파인 광안,부산광역시 수영구 광안동 1240-38번지,"지하2층  ~ 지상31층, 10개동","총1,233세대 中 일반분양567세대",24.09.20,26.06 예정,33699
광안센텀 비스타동원,부산광역시 수영구 광안동 971번지,"지하3층 ~ 지상29층, 7개동",총525세대 中 일반분양 208세대,24.09.26,27.09예정,22499
사하 경남아너스빌 시그니처,부산광역시 사하구 감천동 582-1,"지하3층 ~  지상20층, 6개동",총380세대,24.09.27,27.12예정,15887
센텀 SK VIEW,부산광역시 연제구 연산동 산4번지,"지하2층 ~ 지상29층 , 3개동",총309세대,24.10.11,28.05예정,23780
e편한세상 송도 더퍼스트비치,부산광역시 서구 충무대로 21번길 9,"지하6층 ~ 지상34층 , 10개동","총 1,302세대 中 일반분양 200세대",24.12.06,24.08,23782
부산에코델타시티 대방 엘리움 리버뷰,부산광역시 강서구 에코델타시티 공동 31BL,"지하 2층 ~ 지상 최고 10층, 11개동",총 407세대,25.12.27,27.10예정,19190
한화포레나 부산덕천3차,부산광역시 북구 덕천동 361번지 일원,"지하2층 ~ 지상27층, 4개동",총 429세대 中 일반분양 116세대,25.01.09,25.06예정,21711
거제역 양우내안애 아시아드,부산광역시 연제구 거제동 439-10번지 일원,"지하4층 ~ 지상23층, 2개동",총 168세대,25.02.14,26.09예정,23099
동래 반도 유보라,부산광역시 동래구 낙민동 76-1번지 일원,"지하3층 ~ 지상42층, 3개동",총 400세대,25.03.21,26.11예정,23987
